SOPInstanceUID,Target
1.2.826.0.1.3680043.8.498.12994482986450849724936735513895958623,7 
1.2.826.0.1.3680043.8.498.12995270219971941119897501347924014758,9 
1.2.826.0.1.3680043.8.498.13003181080170958433926773191525428484,0 
1.2.826.0.1.3680043.8.498.13014158705299064611505689105900390985,3 
1.2.826.0.1.3680043.8.498.13028150187163129433753197865596059766,3 
1.2.826.0.1.3680043.8.498.13032367994874438756820688042868936237,3 
1.2.826.0.1.3680043.8.498.13036023923775826702016954470316567047,0 
1.2.826.0.1.3680043.8.498.13045859977087867316570896465209261998,3 
1.2.826.0.1.3680043.8.498.13047212791447150993221020624935527324,3 
1.2.826.0.1.3680043.8.498.13051952565942645231581800734633121489,14 
1.2.826.0.1.3680043.8.498.13066708512134387718179717660802975137,3 
1.2.826.0.1.3680043.8.498.13070896846370726422343092960399298584,21 
1.2.826.0.1.3680043.8.498.13075912157260714679495702821878469040,13 20 
1.2.826.0.1.3680043.8.498.13087980657251222022276186328740259547,5 
1.2.826.0.1.3680043.8.498.13095763604860276666050010200458896854,0 
1.2.826.0.1.3680043.8.498.13098995777237572535867073470992075110,11 
1.2.826.0.1.3680043.8.498.13106823405490401149384299369288100480,14 
1.2.826.0.1.3680043.8.498.13107229592251238898132170235242879043,3 
1.2.826.0.1.3680043.8.498.13116124213807454312042726791294546561,3 
1.2.826.0.1.3680043.8.498.13116210834131561066532529349763075255,11 
1.2.826.0.1.3680043.8.498.13127406582449336773282518825026020194,3 
1.2.826.0.1.3680043.8.498.13134393970860989719617038445121387281,11 
1.2.826.0.1.3680043.8.498.13134485693183411828750340039955748252,21 
1.2.826.0.1.3680043.8.498.13134503218654628726526988162326613530,3 
1.2.826.0.1.3680043.8.498.13136173568794837609137982145482996748,4 
1.2.826.0.1.3680043.8.498.13143119816974821051296081300314647817,3 
1.2.826.0.1.3680043.8.498.13143567732829440604976762413697359542,0 
1.2.826.0.1.3680043.8.498.13152276945227290362166825179514255953,9 
1.2.826.0.1.3680043.8.498.13154089170400421286210159741381943266,15 
1.2.826.0.1.3680043.8.498.13156254844343564401995645749802445691,3 
1.2.826.0.1.3680043.8.498.13171057103907814752436101154602460896,3 
1.2.826.0.1.3680043.8.498.13174031198396146354228627906496096728,14 
1.2.826.0.1.3680043.8.498.13192628032391594248698552632540380990,9 
1.2.826.0.1.3680043.8.498.13204888266306979883342113167486345144,3 
1.2.826.0.1.3680043.8.498.13208515824412904068965607561957731430,11 
1.2.826.0.1.3680043.8.498.13235075061537244502214738567363268275,3 
1.2.826.0.1.3680043.8.498.13244497944473354090672180269072850887,3 
1.2.826.0.1.3680043.8.498.13244984891181992782462833414896873318,3 
1.2.826.0.1.3680043.8.498.13249692030894879858388575669122162009,3 
1.2.826.0.1.3680043.8.498.13259766073362613657326914617585704013,3 
1.2.826.0.1.3680043.8.498.13265987223627772886524742315893273684,13 
1.2.826.0.1.3680043.8.498.13266524514864444387277599549713150384,17 
1.2.826.0.1.3680043.8.498.13267283056259212029634378645948470784,0 
1.2.826.0.1.3680043.8.498.13275445775497346692802108427405409684,14 
1.2.826.0.1.3680043.8.498.13281298272323278398504776292212185485,6 
1.2.826.0.1.3680043.8.498.13300240755210976693617407484561558764,20 
1.2.826.0.1.3680043.8.498.13306049653509855396715072519441394623,14 
1.2.826.0.1.3680043.8.498.13310561881659972417301277857928273449,3 
1.2.826.0.1.3680043.8.498.13319171052364765310549792005960591640,9 21 
1.2.826.0.1.3680043.8.498.13323306956582074958391593332740228019,3 
1.2.826.0.1.3680043.8.498.13326530775934221408983492689824499860,3 
1.2.826.0.1.3680043.8.498.13350062826336212682074258655325809665,13 
1.2.826.0.1.3680043.8.498.13378762458259199848949253556863432158,11 
1.2.826.0.1.3680043.8.498.13387830852205740870112531153767518768,15 
1.2.826.0.1.3680043.8.498.13388650725391812550938052160386164957,3 
1.2.826.0.1.3680043.8.498.13392867864690899781590934884409903318,2 
1.2.826.0.1.3680043.8.498.13397114415814198461151402019519643017,3 
1.2.826.0.1.3680043.8.498.13399164675675937607810731683880694686,16 
1.2.826.0.1.3680043.8.498.13597082823167773434535691655911895726,3 
1.2.826.0.1.3680043.8.498.13690494879381638155074323667482680582,21 
1.2.826.0.1.3680043.8.498.13948420660761550741243919482489110075,15 
1.2.826.0.1.3680043.8.498.13991090089851460010665839222948439048,3 
1.2.826.0.1.3680043.8.498.14076757906495918340851489633019248542,11 
1.2.826.0.1.3680043.8.498.14366638606503685507825657244421539407,1 6 
1.2.826.0.1.3680043.8.498.14441863400535291189870755905028376846,3 
1.2.826.0.1.3680043.8.498.14472067392040415720356165527268722833,3 
1.2.826.0.1.3680043.8.498.14477586337410179309381694095880819502,21 
1.2.826.0.1.3680043.8.498.14698235349595940110459997020574467630,1 11 12 
1.2.826.0.1.3680043.8.498.14765633785769314053681356981929937753,6 
1.2.826.0.1.3680043.8.498.14775105435063404010480136423504764239,14 
1.2.826.0.1.3680043.8.498.14779668495828154413804257015001738506,15 
1.2.826.0.1.3680043.8.498.14816652318560604839438331335785553054,14 
1.2.826.0.1.3680043.8.498.14832307910861958151897708151426414655,1 
1.2.826.0.1.3680043.8.498.14866964978126122163136289081267137606,0 
1.2.826.0.1.3680043.8.498.14870104865293405748740118384182082089,3 
1.2.826.0.1.3680043.8.498.15057304241493848725568511971316122720,3 
1.2.826.0.1.3680043.8.498.15092989485256748181328412427295059067,3 
1.2.826.0.1.3680043.8.498.15126022716559326221899996790039127181,3 
1.2.826.0.1.3680043.8.498.15144815417970827102709069064050334659,13 
1.2.826.0.1.3680043.8.498.15546680820535281934215259494310335138,3 
1.2.826.0.1.3680043.8.498.15590548900176442928310981574028424628,1 
1.2.826.0.1.3680043.8.498.15622284944034605716297457742328134807,14 
1.2.826.0.1.3680043.8.498.15626572476962921609068142936093080477,13 20 
1.2.826.0.1.3680043.8.498.15666823553419838457570982242307330951,3 
1.2.826.0.1.3680043.8.498.15757083169860526899067108643805557170,6 
1.2.826.0.1.3680043.8.498.15793254861388825272774283334804169747,0 
1.2.826.0.1.3680043.8.498.15841051031316930988616059593351190028,3 
1.2.826.0.1.3680043.8.498.15874919477525048669869558820233786478,14 
1.2.826.0.1.3680043.8.498.15916540756113733490766234439378064771,3 
1.2.826.0.1.3680043.8.498.15973446669804829195332049048100086056,0 
1.2.826.0.1.3680043.8.498.15994644877614363968993544629324182219,2 
1.2.826.0.1.3680043.8.498.16025804384837533255224060211228287365,0 
1.2.826.0.1.3680043.8.498.16078065348459464152791601732952489057,9 21 
1.2.826.0.1.3680043.8.498.16187947983673403384722975229875059980,3 
1.2.826.0.1.3680043.8.498.16189589602075090825668579030443016341,3 
1.2.826.0.1.3680043.8.498.16470515296288665159261873721811186604,21 
1.2.826.0.1.3680043.8.498.16501372048080347313857842337081227547,3 
1.2.826.0.1.3680043.8.498.16541057187999804233030899748855878580,11 
1.2.826.0.1.3680043.8.498.16635833228585136455893778876225405045,3 
1.2.826.0.1.3680043.8.498.16732005469129784961162276341634701279,14 
1.2.826.0.1.3680043.8.498.16743022096024694044879854041924202666,2 
1.2.826.0.1.3680043.8.498.16843770282643889902244735451839441053,13 
1.2.826.0.1.3680043.8.498.16930007474042927109024927790010630933,3 
1.2.826.0.1.3680043.8.498.16985797827388504867002470062047916593,3 
1.2.826.0.1.3680043.8.498.17017470244197780780004263173730715982,13 
1.2.826.0.1.3680043.8.498.17042663287376582460282353167938381558,2 
1.2.826.0.1.3680043.8.498.17096032536507363761868352941603795054,3 
1.2.826.0.1.3680043.8.498.17101231703727385454872817437827484460,13 
1.2.826.0.1.3680043.8.498.17118610306140776847634328571695316742,0 3 
1.2.826.0.1.3680043.8.498.17118973568625820495959931359211081161,3 
1.2.826.0.1.3680043.8.498.17138068475854524104517277694448104532,3 
1.2.826.0.1.3680043.8.498.17164887072086624486462660570907584007,5 8 
1.2.826.0.1.3680043.8.498.17180114945606820763831191886450016424,14 
1.2.826.0.1.3680043.8.498.17305857119205136118582273930142297939,15 
1.2.826.0.1.3680043.8.498.17521521854093127188877786770642510207,3 
1.2.826.0.1.3680043.8.498.17608458725079283017890142258369928003,13 
1.2.826.0.1.3680043.8.498.17745861058415991247777393206455732839,10 
1.2.826.0.1.3680043.8.498.17763600842457790746806761922080722750,3 15 
1.2.826.0.1.3680043.8.498.17774885662473266087621382248875792158,13 
1.2.826.0.1.3680043.8.498.17859420911016848318072554173349773541,3 
1.2.826.0.1.3680043.8.498.17901038519845584736169888474832802901,12 
1.2.826.0.1.3680043.8.498.17903335113031912020420812320511912026,3 
1.2.826.0.1.3680043.8.498.17923578992066588108828390221998423783,3 
1.2.826.0.1.3680043.8.498.17992926672154455972766231173543158211,14 
1.2.826.0.1.3680043.8.498.18036029086144657147100608611126845881,6 
1.2.826.0.1.3680043.8.498.18135165317390665411296042179943360567,3 
1.2.826.0.1.3680043.8.498.18157409855817719380665602130265789504,14 
1.2.826.0.1.3680043.8.498.18179094794350874333336905052074857993,3 
1.2.826.0.1.3680043.8.498.18236882656290586527024718972493059266,3 
1.2.826.0.1.3680043.8.498.18254530904768885876832767691768269020,3 
1.2.826.0.1.3680043.8.498.18365828654707382793733081378442684211,3 
1.2.826.0.1.3680043.8.498.18446037966236869070575870827077005274,9 
1.2.826.0.1.3680043.8.498.18477715115151229398156531813764076690,2 
1.2.826.0.1.3680043.8.498.18487623914375706231172360173248146829,2 
1.2.826.0.1.3680043.8.498.18756375772921861102889244085767353729,2 
1.2.826.0.1.3680043.8.498.18966398494656266388716489512675962808,2 
1.2.826.0.1.3680043.8.498.18970959658435305969387472132436608829,13 20 
1.2.826.0.1.3680043.8.498.19200697748436099504779567288200733198,3 
1.2.826.0.1.3680043.8.498.19275347305922058242303659159483967248,7 
1.2.826.0.1.3680043.8.498.19311805687570359601324321230480748877,3 
1.2.826.0.1.3680043.8.498.19325085101380021176403007637432312111,3 
1.2.826.0.1.3680043.8.498.19334364457389757316612393684246576894,0 
1.2.826.0.1.3680043.8.498.19460762441089929612901354084427584691,1 
1.2.826.0.1.3680043.8.498.19492460680304470580481294083656750366,3 
1.2.826.0.1.3680043.8.498.19650035668800346959048957101834990627,1 
1.2.826.0.1.3680043.8.498.19712457668194559953952352981155784971,3 
1.2.826.0.1.3680043.8.498.19721119621238043697657706477588147207,13 20 
1.2.826.0.1.3680043.8.498.19799270208005490037950033399456094069,17 
1.2.826.0.1.3680043.8.498.19849231296262783830768380963359737850,3 
1.2.826.0.1.3680043.8.498.19878644487806502082817203359923592427,3 
1.2.826.0.1.3680043.8.498.19936022212836061321624754457570463862,11 
1.2.826.0.1.3680043.8.498.19994258413281657197149209675623439488,14 
1.2.826.0.1.3680043.8.498.20105819026067672483794760949324127644,3 
1.2.826.0.1.3680043.8.498.20287656812819582539298597370393068134,3 
1.2.826.0.1.3680043.8.498.20313717804122705346911064133370258313,5 
1.2.826.0.1.3680043.8.498.20339718811984113375820041376442560513,9 21 
1.2.826.0.1.3680043.8.498.20359625514061706882866521683695158294,3 
1.2.826.0.1.3680043.8.498.20448037119456399773900132154817646339,3 
1.2.826.0.1.3680043.8.498.20488783099432739991742782315204596370,21 
1.2.826.0.1.3680043.8.498.20499740867788996725260009823033685415,3 
1.2.826.0.1.3680043.8.498.20532275845451534997904668903849367663,3 
1.2.826.0.1.3680043.8.498.20572372883843674103331896810587749996,7 
1.2.826.0.1.3680043.8.498.20622771129562762946492457195654215393,2 
1.2.826.0.1.3680043.8.498.20629717836298519996429366508099814378,3 
1.2.826.0.1.3680043.8.498.20729552524210330583118608005787605854,11 
1.2.826.0.1.3680043.8.498.20846732091687344029990992762580182013,1 
1.2.826.0.1.3680043.8.498.20918140292920524949530657853884334862,10 
1.2.826.0.1.3680043.8.498.20995158262911622804072211155913817627,6 
1.2.826.0.1.3680043.8.498.21135920503414350076677931748745157019,3 
1.2.826.0.1.3680043.8.498.21157603694825054905788739371228985102,3 
1.2.826.0.1.3680043.8.498.21171075371526691459914264465307392251,15 
1.2.826.0.1.3680043.8.498.21199751632414178657230526938620391906,3 
1.2.826.0.1.3680043.8.498.21207179952871589497554499968289087026,3 
1.2.826.0.1.3680043.8.498.21242691853022002276354261456029004489,3 
1.2.826.0.1.3680043.8.498.21251642695048929995890958994958542652,15 
1.2.826.0.1.3680043.8.498.21269005304047857947881852861346174577,15 
1.2.826.0.1.3680043.8.498.21320615773391539018377925315610329321,21 
1.2.826.0.1.3680043.8.498.21405744797628520587572916390281424316,3 
1.2.826.0.1.3680043.8.498.21444084905678309951440148690885283407,3 
1.2.826.0.1.3680043.8.498.21458887839832086808223465945461199724,7 
1.2.826.0.1.3680043.8.498.21559845160587817231602193892136312745,3 
1.2.826.0.1.3680043.8.498.21648808079633569567753598451025399237,15 
1.2.826.0.1.3680043.8.498.21653274804312754324862594687925832678,3 
1.2.826.0.1.3680043.8.498.21739376742858908135232935836921176201,10 
1.2.826.0.1.3680043.8.498.21856139522423990262921187584348870082,9 21 
1.2.826.0.1.3680043.8.498.21969138403751832829667327820267652084,7 9 
1.2.826.0.1.3680043.8.498.22006840290550024039334265955748272752,9 
1.2.826.0.1.3680043.8.498.22075614048775243235385640812368848670,11 
1.2.826.0.1.3680043.8.498.22090743043479588938894627288451297537,3 
1.2.826.0.1.3680043.8.498.22113515954693641708288051306836351667,0 3 
1.2.826.0.1.3680043.8.498.22188804972848573317856219708657688100,3 
1.2.826.0.1.3680043.8.498.22207138785115856965952520478032331628,3 
1.2.826.0.1.3680043.8.498.22243109582535808785220515550018395868,3 
1.2.826.0.1.3680043.8.498.22288934302453695198974243496425692290,3 
1.2.826.0.1.3680043.8.498.22330103032757404581949378940386800852,3 
1.2.826.0.1.3680043.8.498.22426465742020608837270092911020855537,7 
1.2.826.0.1.3680043.8.498.22628410589430256881160628575481129549,3 
1.2.826.0.1.3680043.8.498.22644062609859232323281488761606263873,2 
1.2.826.0.1.3680043.8.498.22713625834435507337367830106848392231,6 
1.2.826.0.1.3680043.8.498.22813802540065205481450415451607449563,21 
1.2.826.0.1.3680043.8.498.22886734535774847726986069920042504965,15 
1.2.826.0.1.3680043.8.498.22935770255018636297024134786639104890,14 
1.2.826.0.1.3680043.8.498.22956212341293602646022504265282902791,3 
1.2.826.0.1.3680043.8.498.23026948266359884673789195073430260311,7 
1.2.826.0.1.3680043.8.498.23155247574365266930043708208105420188,21 
1.2.826.0.1.3680043.8.498.23196007484239997695679457474042230293,3 
1.2.826.0.1.3680043.8.498.23220334481580478685855056171997489415,14 
1.2.826.0.1.3680043.8.498.23220876608200585321915364568900947132,3 
1.2.826.0.1.3680043.8.498.23278875712422646971691508356466872951,3 
1.2.826.0.1.3680043.8.498.23308664237525249659606665284289182621,15 
1.2.826.0.1.3680043.8.498.23326118276117176550489242246040300667,16 
1.2.826.0.1.3680043.8.498.23423438818539975807723199585789964264,2 
1.2.826.0.1.3680043.8.498.23454375140912819740975435771767412101,3 
1.2.826.0.1.3680043.8.498.23524701560696449362244535371180665430,3 
1.2.826.0.1.3680043.8.498.23558046009638109050649924069601834145,5 
1.2.826.0.1.3680043.8.498.23604007291723287998561293165905396165,3 
1.2.826.0.1.3680043.8.498.23698109030128238974437180723600036191,3 
1.2.826.0.1.3680043.8.498.23761741990071343226444302301529121300,3 
1.2.826.0.1.3680043.8.498.23848675463749784561026528472979060352,3 
1.2.826.0.1.3680043.8.498.23850976661788583273611905636489319483,3 
1.2.826.0.1.3680043.8.498.23916746851499819411048836449108794446,3 
1.2.826.0.1.3680043.8.498.23936147069190533903259260169124611135,9 21 
1.2.826.0.1.3680043.8.498.23978022383866429165039872643819033349,3 
1.2.826.0.1.3680043.8.498.23982984418850764569600379797256987005,3 
1.2.826.0.1.3680043.8.498.24103468064058116720469659060890579284,1 
1.2.826.0.1.3680043.8.498.24128757938794232407664797966451691400,21 
1.2.826.0.1.3680043.8.498.24274063976164182325093307898033922900,11 
1.2.826.0.1.3680043.8.498.24358477427592589276179237359116480279,2 
1.2.826.0.1.3680043.8.498.24377362062409477070465522674137587026,3 
1.2.826.0.1.3680043.8.498.24440705804470733239035479909422933701,19 
1.2.826.0.1.3680043.8.498.24493226107909011198872263168825685069,15 19 
1.2.826.0.1.3680043.8.498.24523148563876790165341942399433787475,13 20 
1.2.826.0.1.3680043.8.498.24618236444382898163974877137230368248,13 20 
1.2.826.0.1.3680043.8.498.24632195202355215282133077294760752147,3 
1.2.826.0.1.3680043.8.498.24730478005534390695134188314150991325,11 
1.2.826.0.1.3680043.8.498.24834184468014207449857843040744319691,3 
1.2.826.0.1.3680043.8.498.24966337027325178552309913366440388810,11 
1.2.826.0.1.3680043.8.498.24993521013329550910554966109454541654,21 
1.2.826.0.1.3680043.8.498.25038804130612564987686087280329579272,1 11 12 
1.2.826.0.1.3680043.8.498.25204606916349302724934438931245202727,2 
1.2.826.0.1.3680043.8.498.25485586275348342828781486889570104483,3 
1.2.826.0.1.3680043.8.498.25546344623841111236677853620739360472,3 
1.2.826.0.1.3680043.8.498.25551024549769247493451304596998044534,14 
1.2.826.0.1.3680043.8.498.25782921448484969291635543231686935084,3 
1.2.826.0.1.3680043.8.498.25849945077328232381827971060954640094,16 
1.2.826.0.1.3680043.8.498.26096019382796445787053337906710972593,21 
1.2.826.0.1.3680043.8.498.26098883119410406121359039079667609081,14 
1.2.826.0.1.3680043.8.498.26103390619292137815643298837452251809,2 
1.2.826.0.1.3680043.8.498.26113412321851367692403099718023256094,14 
1.2.826.0.1.3680043.8.498.26172243684773872763112041112887549671,3 
1.2.826.0.1.3680043.8.498.26289595829814765818003715764752723727,11 
1.2.826.0.1.3680043.8.498.26362892955414027058278711605689312742,20 
1.2.826.0.1.3680043.8.498.26378708539511833237317047497794420312,21 
1.2.826.0.1.3680043.8.498.26394087537494516990729094448908362066,3 
1.2.826.0.1.3680043.8.498.26469516514934309613444348107353464931,15 
1.2.826.0.1.3680043.8.498.26526255029415965167857297935274092539,6 
1.2.826.0.1.3680043.8.498.26652194011684152026069540079783344023,3 
1.2.826.0.1.3680043.8.498.26760758887820534462509315429501730688,3 
1.2.826.0.1.3680043.8.498.26821698734089878250442504177970149140,3 
1.2.826.0.1.3680043.8.498.26828426317323088605044010826705665054,3 
1.2.826.0.1.3680043.8.498.26925538236571466013301419881696863381,3 
1.2.826.0.1.3680043.8.498.26984752532891743054288479439572345663,3 
1.2.826.0.1.3680043.8.498.27004276747767423234209674784176638479,1 6 
1.2.826.0.1.3680043.8.498.27151148888978241276263803407050230853,2 
1.2.826.0.1.3680043.8.498.27192237518104864028418041285920348118,3 
1.2.826.0.1.3680043.8.498.27194287346438534055421117173809089961,11 
1.2.826.0.1.3680043.8.498.27219205416087124000038386779721604404,6 
1.2.826.0.1.3680043.8.498.27283258582996178835939615943078410190,3 
1.2.826.0.1.3680043.8.498.27338341346182193445324959161531201634,3 
1.2.826.0.1.3680043.8.498.27479653295476500383648998570257965257,14 
1.2.826.0.1.3680043.8.498.27676630945884704976064855931251186098,3 
1.2.826.0.1.3680043.8.498.27817754222785643127850841663677625354,0 
1.2.826.0.1.3680043.8.498.27877998329001057521508759287879878825,13 
1.2.826.0.1.3680043.8.498.27960763712640103917928339521743060430,11 
1.2.826.0.1.3680043.8.498.28171040107077003577773905752239351671,2 
1.2.826.0.1.3680043.8.498.28177680221414266945867965558681545052,10 
1.2.826.0.1.3680043.8.498.28178536867288617051101415657230487181,14 
1.2.826.0.1.3680043.8.498.28197958243780125669253913943592996865,3 
1.2.826.0.1.3680043.8.498.28209834571953193286109117924758490687,3 
1.2.826.0.1.3680043.8.498.28358453357164369567581954670731766667,3 
1.2.826.0.1.3680043.8.498.28370348751846810315658026696404765697,3 
1.2.826.0.1.3680043.8.498.28712268837545489425804091459218126338,20 
1.2.826.0.1.3680043.8.498.28851430373253225562709368922419869348,1 
1.2.826.0.1.3680043.8.498.28879850432609288464497456935227556370,3 
1.2.826.0.1.3680043.8.498.28916906129241312164638034372400131816,21 
1.2.826.0.1.3680043.8.498.28920972508080242247036080466695673128,3 
1.2.826.0.1.3680043.8.498.29009854492382446229666802243756084967,3 
1.2.826.0.1.3680043.8.498.29057086570540652204196208488812368501,1 
1.2.826.0.1.3680043.8.498.29104461378240611135023765305385063233,11 
1.2.826.0.1.3680043.8.498.29222754240372110938730209419977639362,3 
1.2.826.0.1.3680043.8.498.29241896023767626770777585611899352651,3 
1.2.826.0.1.3680043.8.498.29381734238919474190595869457055018506,15 
1.2.826.0.1.3680043.8.498.29385796471072727052031188982311885338,3 
1.2.826.0.1.3680043.8.498.29427394561760822383392736848739749573,21 
1.2.826.0.1.3680043.8.498.29581911459637473463731685532424058271,9 
1.2.826.0.1.3680043.8.498.29681664464562301261342619087055896600,3 
1.2.826.0.1.3680043.8.498.29794719010485328534228787455995874038,13 20 
1.2.826.0.1.3680043.8.498.29803914434048156534249281153468027438,3 
1.2.826.0.1.3680043.8.498.29846794167454514866031717663937217843,3 
1.2.826.0.1.3680043.8.498.29889246808262009504991361113434061398,11 
1.2.826.0.1.3680043.8.498.29958793115136048337339977024322959519,3 
1.2.826.0.1.3680043.8.498.29960944389705651248668522443366935719,3 
1.2.826.0.1.3680043.8.498.29982425811661556978033851324488588742,12 
1.2.826.0.1.3680043.8.498.30230148144271187201125306278537159158,13 20 
1.2.826.0.1.3680043.8.498.30255106562321206269035908958425925148,9 
1.2.826.0.1.3680043.8.498.30265116873498376150827590098481245040,2 
1.2.826.0.1.3680043.8.498.30281657745032393199245822838964882401,15 
1.2.826.0.1.3680043.8.498.30332382670449057955329591512738362838,11 
1.2.826.0.1.3680043.8.498.30463613441314842264540677440749842390,8 
1.2.826.0.1.3680043.8.498.30493080281935086088422665945406995020,2 
1.2.826.0.1.3680043.8.498.30536653848812562742198319711449943176,3 
1.2.826.0.1.3680043.8.498.30589390953504552492645067496479457506,3 
1.2.826.0.1.3680043.8.498.30602672115002182933372094551664983185,0 
1.2.826.0.1.3680043.8.498.30665311865627600105937006561553968755,3 
1.2.826.0.1.3680043.8.498.30680095321039037997741639349970814832,3 
1.2.826.0.1.3680043.8.498.30707605384965854236721334146801251995,2 
1.2.826.0.1.3680043.8.498.30747220011745358431965785445355708589,3 
1.2.826.0.1.3680043.8.498.30762240215158897025882177121906309613,15 
1.2.826.0.1.3680043.8.498.30964477695377833455817224754194395728,6 
1.2.826.0.1.3680043.8.498.31249377276984710841836180796153620758,3 
1.2.826.0.1.3680043.8.498.31315145230075900053761247401184054379,11 
1.2.826.0.1.3680043.8.498.31345622470407702130427623908152104670,0 
1.2.826.0.1.3680043.8.498.31393521925069415662096707289246507576,3 
1.2.826.0.1.3680043.8.498.31557946740084534265266699572162853115,13 20 
1.2.826.0.1.3680043.8.498.31578003065165505683810553576151271934,15 
1.2.826.0.1.3680043.8.498.31657837065561359475728689862705627608,3 
1.2.826.0.1.3680043.8.498.31742620299676749451658976429992363294,3 
1.2.826.0.1.3680043.8.498.31753382922798397716815370333779490430,11 
1.2.826.0.1.3680043.8.498.31810093671028409725531983437853041806,3 
1.2.826.0.1.3680043.8.498.31821654120477563111677717502590013655,3 
1.2.826.0.1.3680043.8.498.31902345978556946684317428904281670633,3 
1.2.826.0.1.3680043.8.498.31962063701340854341468423852671710828,6 
1.2.826.0.1.3680043.8.498.32029498805900492350772858039127902621,3 
1.2.826.0.1.3680043.8.498.32045187338210075930624501521567981522,4 
1.2.826.0.1.3680043.8.498.32094349867442658983687377018506673884,0 
1.2.826.0.1.3680043.8.498.32113850958737123617023483062464592245,21 
1.2.826.0.1.3680043.8.498.32160902359476426830051124585039099779,3 
1.2.826.0.1.3680043.8.498.32467620439025796224161045738740609166,4 
1.2.826.0.1.3680043.8.498.32468909159686858114839199908728677754,2 13 20 
1.2.826.0.1.3680043.8.498.32530246737542031365294367676864864143,11 
1.2.826.0.1.3680043.8.498.32552271028115875266052906786486094072,3 
1.2.826.0.1.3680043.8.498.32600820667101442524390302430294631169,3 
1.2.826.0.1.3680043.8.498.32799700585892367676931753869421025476,3 
1.2.826.0.1.3680043.8.498.32906835288265194876189792007190974520,3 
1.2.826.0.1.3680043.8.498.33094316176204630191604984683142829383,2 
1.2.826.0.1.3680043.8.498.33193723990027955129164616318664925973,9 21 
1.2.826.0.1.3680043.8.498.33233498117043112931807197645640682435,17 
1.2.826.0.1.3680043.8.498.33253807194077133291450677221670470598,9 
1.2.826.0.1.3680043.8.498.33278307547942509196475431710347814071,1 
1.2.826.0.1.3680043.8.498.33287430037690920435727908280952084263,3 
1.2.826.0.1.3680043.8.498.33303514480609398517548566741205534465,2 
1.2.826.0.1.3680043.8.498.33342063943341882283065758918110259646,3 
1.2.826.0.1.3680043.8.498.33344784114194203014253567431793927863,3 
1.2.826.0.1.3680043.8.498.33369041851751449132190407907424812320,6 
1.2.826.0.1.3680043.8.498.33459937734865797979933195498874746878,9 21 
1.2.826.0.1.3680043.8.498.33547904276020548450233245467264341096,15 
1.2.826.0.1.3680043.8.498.33586794682471443237377061880017277787,3 
1.2.826.0.1.3680043.8.498.33812846065108577770560797178913477933,13 
1.2.826.0.1.3680043.8.498.33872216618418897457283327211776880470,3 
1.2.826.0.1.3680043.8.498.33879919477556273662176300181972750947,11 
1.2.826.0.1.3680043.8.498.33922674591830572451916649661311612715,21 
1.2.826.0.1.3680043.8.498.33947601054928707279799781547957416639,3 
1.2.826.0.1.3680043.8.498.34120373066714166717547747763920355014,2 
1.2.826.0.1.3680043.8.498.34134311832845729731684923720547788048,3 
1.2.826.0.1.3680043.8.498.34166517570514852596477096228929132531,3 
1.2.826.0.1.3680043.8.498.34566450355679449909110918241173782193,0 
1.2.826.0.1.3680043.8.498.34593468685643910712253492180825061350,3 
1.2.826.0.1.3680043.8.498.34684783761238899219068925838377182770,9 
1.2.826.0.1.3680043.8.498.34824132348809415252680261180798289446,17 
1.2.826.0.1.3680043.8.498.34881782731245659697975021007267105022,3 
1.2.826.0.1.3680043.8.498.34977540348185162012909519876486748466,21 
1.2.826.0.1.3680043.8.498.34985666539063208992123584855994988565,11 
1.2.826.0.1.3680043.8.498.35019350454003003713439354071055817530,3 
1.2.826.0.1.3680043.8.498.35296329359359289233092774947214257673,20 
1.2.826.0.1.3680043.8.498.35303644108541340519344912648246491829,3 
1.2.826.0.1.3680043.8.498.35418104107086161162440660621434848010,9 21 
1.2.826.0.1.3680043.8.498.35439437268770619565038140355265985670,3 
1.2.826.0.1.3680043.8.498.35475677392710937045536458149721949725,3 
1.2.826.0.1.3680043.8.498.35566538088048503568734565120348111096,18 
1.2.826.0.1.3680043.8.498.35586177670690743093424165301081412351,3 
1.2.826.0.1.3680043.8.498.35634998274072046813693848162530757613,11 
1.2.826.0.1.3680043.8.498.35722483881260350737616794440671487430,6 
1.2.826.0.1.3680043.8.498.35729641756803239553493944413512093347,17 
1.2.826.0.1.3680043.8.498.35744009003440822642339097258433239072,14 
1.2.826.0.1.3680043.8.498.35824889106322299582492675249107976239,3 
1.2.826.0.1.3680043.8.498.35912543479648485786297145242371322877,13 20 
1.2.826.0.1.3680043.8.498.35948821453476022584574036397472079559,6 
1.2.826.0.1.3680043.8.498.35966281248433024717784107155422011438,3 
1.2.826.0.1.3680043.8.498.36121912364078781887441584081640067996,14 
1.2.826.0.1.3680043.8.498.36214287451432584112784272337686926281,3 
1.2.826.0.1.3680043.8.498.36259287515180493512861136848981756050,3 
1.2.826.0.1.3680043.8.498.36297927420988222626817649882454806433,6 
1.2.826.0.1.3680043.8.498.36341486637109769583377183163061569883,3 
1.2.826.0.1.3680043.8.498.36395686503364660068630268121826615498,3 
1.2.826.0.1.3680043.8.498.36398492320304309172202281145093910555,0 
1.2.826.0.1.3680043.8.498.36463482250129421718477012286628795774,21 
1.2.826.0.1.3680043.8.498.36496379791286887034635528060978251822,3 
